"التعليقات النحوية Grammar Comments ","تصحيح الكلمة الأصلية (إن لزم) Correction of original word (if necessary)","الكلمة الأصلية Original word","المستوى التعليمي CEFR level","عدد تكرار الكلمة Frequency of word"
"اسم",,"إجمال","A2",34.2
"اسم",,"بحرة","A2",34.16
"اسم",,"نشرة","A2",34.16
"اسم",,"قياس","A2",34.13
"اسم",,"رباط","A2",34.12
"اسم",,"مدخل","A2",34.12
"اسم",,"تسوية","C1",34.05
"فعل / اسم",,"شبك","A2",34.04
"صفة",,"هائل","A2",34.01
"اسم  ",,"ريح","B1",33.97
"صفة",,"فقير","B1",33.94
"فعل / اسم",,"سب","B1",33.91
"صفة",,"مجاور","B1",33.89
"اسم علم",,"مسعود","B1",33.87
"فعل",,"تسعى","B1",33.82
"اسم",,"ثوب","B1",33.81
"اسم",,"اليهودية","B1",33.78
"اسم",,"شعراء","B1",33.73
"فعل",,"نهض","B1",33.71
"اسم",,"بساط","B1",33.7
"صفة",,"موحد","B1",33.64
"اسم",,"عوامل","B1",33.61
"فعل",,"خطب","B1",33.6
"اسم",,"عاملة","B1",33.6
"اسم",,"غناء","B1",33.6
"اسم",,"زائر","B1",33.55
"اسم",,"سعادة","B1",33.55
"اسم",,"فؤاد","B1",33.53
"فعل",,"تدل","B1",33.51
"صفة",,"ثقيل","B1",33.51
"فعل",,"تربو","B1",33.48
"فعل",,"تعتقد","B1",33.46
"اسم",,"تدمير","B1",33.42
"صفة",,"ممتاز","B1",33.42
"اسم",,"جرو","B1",33.38
"اسم",,"فجر","B1",33.38
"اسم",,"مجلس الشورى","B1",33.31
"فعل",,"عنيك","B1",33.23
"اسم",,"هدوء","B1",33.2
"اسم",,"خطورة","B1",33.16
"اسم",,"عجز","B1",33.16
"اسم تفضيل",,"أكمل","B1",33.1
"اسم",,"مستويات","B1",33.08
"اسم",,"موسوعة","B1",33.07
"اسم",,"شوارع","B1",33.06
"اسم",,"رحمة","B1",33.03
"اسم",,"برميل","B1",33.01
"اسم",,"روم","B1",33
"فعل",,"تفعل","B1",32.99
"اسم",,"أسفل","B1",32.96
"اسم",,"هرير","B1",32.94
"صفة",,"جغرافي","B1",32.88
"اسم / فعل",,"تناقض","B1",32.86
"حرف",,"انما","B1",32.85
"اسم علم",,"نيويورك","A1",32.79
"صفة",,"عجيب","B1",32.77
"اسم",,"خبز","B1",32.72
"اسم",,"حاصل","B1",32.67
"فعل",,"تلق","B1",32.63
"اسم",,"منية","B1",32.62
"اسم",,"كلب","B1",32.61
"اسم",,"احتياج","B1",32.6
"فعل",,"رجى","B1",32.6
"اسم",,"شوق","B1",32.58
"اسم",,"إفتتاح","B1",32.57
"فعل",,"أصيب","B1",32.56
"شبه جملة",,"بالتالي","B1",32.53
"صفة",,"حار","B1",32.53
"اسم",,"ساحل","B1",32.52
"اسم",,"توازن","B1",32.48
"صفة",,"شائع","B1",32.48
"صفة",,"إضافي","B1",32.46
"اسم / صفة",,"عاطف","B1",32.41
"اسم",,"بطاقة","B1",32.39
"اسم",,"علامة","B1",32.37
"اسم",,"ربوع","B1",32.36
"اسم",,"معاناة","B1",32.3
"اسم",,"بشير","B1",32.26
"فعل",,"اتخذ","B1",32.25
"صفة",,"سليم","B1",32.24
"اسم علم",,"روما","B1",32.22
"صفة",,"كهربائي","B1",32.21
"فعل",,"أظن","B1",32.2
"اسم",,"عروب","B1",32.18
"صفة",,"متنوع","B1",32.17
"فعل",,"رضى","B1",32.13
"فعل",,"كره","B1",32.13
"فعل",,"أجاب","B1",32.1
"اسم",,"جلد","B1",32.08
"فعل",,"نعلم","B1",32.03
"أداة جزم",,"فهد","B1",31.97
"اسم",,"حارس","B1",31.93
"فعل",,"تلقى","B1",31.92
"ظرف",,"إزاء","B1",31.91
"اسم",,"زير","B1",31.91
"فعل",,"لفت","B1",31.91
"اسم",,"هَم","B1",31.88
"اسم",,"مطعم","A1",31.87
"فعل",,"نتحدث","B1",31.85
"اسم",,"فضيل","B1",31.84
"فعل",,"أسلم","B1",31.82
"اسم",,"صهيونية","B1",31.79
"صفة",,"مؤثر","B1",31.79
"اسم",,"إبداع","B1",31.77
"اسم علم",,"الأردن","B1",31.76
"اسم",,"قوس","B1",31.76
"اسم / فعل",,"عزل","B1",31.75
"اسم",,"تمثيل","B1",31.72
"صفة",,"متاح","B1",31.72
"اسم",,"ردود","B1",31.71
"اسم",,"مصرف","B1",31.69
"اسم / صفة",,"سائل","B1",31.68
"اسم",,"ثمرة","B1",31.62
"اسم",,"ملائكة","B1",31.59
"اسم / فعل",,"أنس","B1",31.56
"اسم",,"تجديد","B1",31.55
"فعل",,"ينتهي","B1",31.53
"صفة",,"حمراء","B1",31.52
"اسم",,"اكتشف","B1",31.51
"صفة",,"موسيقي","A2",31.5
"فعل",,"تحب","B1",31.49
"اسم",,"رائحة","B1",31.48
"اسم",,"ملابس","A2",31.47
"اسم",,"نقاط","B1",31.47
"اسم",,"فضلاً","B1",31.43
"اسم",,"انفجار","B1",31.41
"فعل",,"يبدو","B1",31.41
"فعل",,"تصف","B1",31.38
"اسم",,"مستشار","B1",31.38
"اسم",,"مباحث","B1",31.37
"حرف توكيد ",,"انما","B1",31.34
"فعل",,"تؤثر","B1",31.33
"اسم",,"خالق","B1",31.29
"اسم",,"طبعة","B1",31.28
"اسم",,"يسار","B1",31.28
"اسم",,"خليف","B1",31.27
"اسم",,"إثبات","B1",31.26
"فعل",,"أصدر","B1",31.25
"اسم",,"حرفة","B1",31.25
"اسم",,"دمار","B1",31.24
"حرف",,"متل","B1",31.24
"اسم",,"جهل","B1",31.23
"اسم / فعل",,"نفع","B1",31.22
"اسم",,"ملعب","B1",31.2
"اسم  ",,"تمام","B1",31.15
"اسم",,"أذن","B1",31.14
"صفة",,"مقبول","B1",31.14
"صفة",,"جدد","B1",31.13
"صفة",,"نقدي","B1",31.11
"اسم تفضيل",,"أصغر","B1",31.04
"اسم",,"وقود","B1",31.03
"فعل",,"أعلم","B1",31.02
"اسم / فعل",,"وزن","B1",31.01
"شبه جملة",,"بالإضافة","B1",31
"اسم",,"قرى","B1",30.96
"فعل",,"وفاء","B1",30.88
"اسم",,"نفوذ","B1",30.86
" حرف توكيد ونصب",,"أن","B1",30.83
"اسم",,"مشارك","B1",30.79
"شبه جملة",,"في اطار","B1",30.76
"اسم",,"ضمير","B1",30.74
"فعل",,"تساعد","B1",30.73
"ظرف زمان ",,"آنذاك","B1",30.71
"اسم",,"أزمة","B1",30.67
"فعل",,"أفاد","B1",30.67
"اسم",,"اضطراب","B1",30.67
"فعل",,"تشب","B1",30.65
"اسم",,"تعويض","B1",30.65
"اسم",,"عائد","B1",30.64
"اسم",,"تفتيش","B1",30.61
"اسم",,"جازية","B1",30.61
"فعل",,"يهم","B1",30.61
"اسم",,"سحاب","A2",30.59
"صفة",,"خيري","B1",30.59
"اسم",,"إرتباط","B1",30.58
"اسم",,"شَعْر","B1",30.56
"اسم",,"نصاب","B1",30.55
"اسم  ",,"قاع","B1",30.54
"اسم",,"هزيم","B1",30.54
"اسم  ",,"يقين","B1",30.52
"اسم",,"أطباء","B1",30.51
"اسم",,"اثناء","B1",30.51
"اسم",,"مد","B1",30.49
"اسم",,"مطلع","B1",30.48
"فعل",,"أذكر","B1",30.47
"اسم",,"ضيق","B1",30.47
"اسم",,"دوم","B1",30.45
"اسم",,"كعب","B1",30.45
"صفة",,"طابع","B1",30.41
"صفة",,"أمني","B1",30.36
"صفة",,"نبيل","B1",30.34
"اسم",,"درهم","B1",30.32
"اسم",,"مجاهد","B1",30.3
"اسم",,"صعود","B1",30.29
"صفة",,"جنائي","B1",30.25
"ظرف مكان",,"وراء","B1",30.25
"اسم",,"كفر","B1",30.22
"اسم / صفة",,"ميت","B1",30.22
"اسم علم",,"يعقوب","B1",30.21
"فعل",,"ساهم","B1",30.17
"اسم",,"صحافي","B1",30.16
"اسم",,"عقال","B1",30.16
"صفة",,"متصل","B1",30.13
"اسم",,"استطلاع","B1",30.12
"اسم",,"فضاء","B1",30.12
"اسم",,"عمادة","B1",30.09
"اسم",,"جدر","B1",30.06
"اسم",,"بئر","B1",30.03
"صفة",,"حلو","B1",30.03
"فعل",,"جزا","B1",29.99
"صفة",,"إشتراكي","B1",29.97
"حرف توكيد ونصب",,"فإنّ","B1",29.94
"صفة",,"مسبق","B1",29.91
"فعل",,"نتج","B1",29.91
"اسم علم",,"فائد","B1",29.9
"اسم",,"وفر","B1",29.89
"اسم تفضيل",,"أسرع","B1",29.81
"اسم",,"تشجيع","B1",29.81
"صفة",,"زائد","B1",29.79
"اسم",,"بأس","B1",29.76
"اسم",,"مقترح","B1",29.74
"صفة",,"صريح","B1",29.72
"اسم",,"مرضى","B1",29.72
"اسم",,"عرق","B1",29.69
"اسم",,"نصيب","B1",29.69
"فعل",,"تتضمن","B1",29.66
"اسم",,"مولود","B1",29.64
"فعل",,"واصل","B1",29.63
"اسم",,"مذكر","B1",29.61
"اسم",,"مسجل","B1",29.57
"اسم",,"نسمة","B1",29.52
"اسم",,"خف","B1",29.51
"صفة",,"مجدد","B1",29.5
"اسم",,"خطيب","B1",29.49
"اسم",,"مناخ","B1",29.48
"اسم",,"عز","B1",29.42
"صفة",,"وسطى","B1",29.35
"اسم",,"تسمية","B1",29.34
"اسم / صفة",,"مانع","B1",29.34
"فعل",,"طال","B1",29.31
"اسم",,"أولوية","B1",29.29
"اسم",,"توبة","B1",29.29
"اسم",,"اثر","B1",29.28
"اسم",,"طبقة","B1",29.27
"فعل",,"تدور","B1",29.26
"صفة",,"جزئي","B1",29.26
"اسم",,"تراب","B1",29.23
"اسم",,"جوار","B1",29.2
"صفة",,"سار","B1",29.2
"فعل",,"تتجاوز","B1",29.18
"اسم",,"رسائل","B1",29.18
"اسم",,"رفيق","B1",29.17
"اسم / فعل أمر",,"إيه","B1",29.15
"صفة",,"راشد","B1",29.15
"اسم",,"متحدث","B1",29.15
"اسم",,"جوب","B1",29.14
"صفة",,"عابد","B1",29.05
"اسم",,"فقهاء","B1",29.04
"صفة",,"محفوظ","B1",29.02
"اسم",,"جنرال","B1",29
"اسم",,"انتصار","B1",28.96
"اسم",,"كارثة","B1",28.89
"اسم",,"تدريس","B1",28.86
"اسم",,"تحديث","B1",28.85
"اسم",,"تداول","B1",28.85
"اسم",,"فجأة","B1",28.81
"اسم",,"قضاة","B1",28.8
"اسم",,"مسلم","A2",28.79
"اسم",,"خوض","B1",28.72
"اسم",,"حديقة","B1",28.68
"اسم",,"فرح","B1",28.65
"أداة نصب",,"كى","B1",28.65
"اسم",,"عقول","B1",28.63
"صفة",,"بطال","B1",28.62
"اسم",,"مبيع","B1",28.6
"اسم",,"جراح","B1",28.59
"اسم",,"ضامن","B1",28.53
"فعل",,"تدفع","B1",28.49
"اسم",,"جذر","B1",28.49
"فعل / اسم",,"تخصص","B1",28.46
"اسم",,"شرفة","B1",28.46
"فعل",,"يقوم","B1",28.46
"اسم",,"ملتقى","B1",28.43
"اسم",,"جيب","B1",28.42
"اسم",,"كرد","B1",28.42
"صفة",,"خالص","B1",28.4
"اسم",,"إدخال","B1",28.35
"اسم",,"انتهاك","B1",28.34
"صفة",,"مماثل","B1",28.31
"اسم",,"مبالغ","B1",28.28
"فعل",,"تسير","B1",28.27
"اسم",,"احتفال","B1",28.26
"اسم",,"خيال","B1",28.26
"اسم",,"إخوة","B1",28.25
"فعل",,"ربط","B1",28.22
"اسم علم",,"بول","B1",28.21
"اسم",,"سوي","B1",28.21
"صفة",,"هادي","B1",28.21
"اسم",,"بث","B1",28.18
"اسم",,"نظري","B1",28.16
"فعل",,"أنزل","B1",28.15
"فعل",,"تشعر","B1",28.15
"اسم",,"جناح","B1",28.15
"فعل",,"ينتظر","B1",28.13
"اسم",,"مجد","B1",28.07
"فعل",,"فاز","B1",28.06
"اسم",,"عمق","B1",27.98
"اسم",,"مساجد","A2",27.98
"فعل / اسم تفضيل",,"أحدث","B1",27.95
"فعل  ",,"أصاب","B1",27.95
"فعل",,"تعطي","B1",27.95
"اسم",,"سلك","B1",27.92
"فعل",,"أقام","B1",27.9
"اسم",,"خطوط","B1",27.9
"اسم",,"حرس","B1",27.87
"اسم",,"ستين","A1",27.85
"فعل",,"اجتمع","B1",27.83
"اسم",,"عقاب","B1",27.8
"صفة",,"متوفر","B1",27.8
"اسم",,"هدى","B1",27.8
"صفة",,"ثنائي","B1",27.79
"فعل",,"تقدر","B1",27.78
"اسم",,"شرف","B1",27.78
"فعل",,"سمى","B1",27.75
"اسم",,"ثواب","B1",27.72
"صفة",,"بيضاء","B1",27.71
"اسم",,"فاعل","B1",27.68
"فعل",,"تثب","B1",27.63
"اسم",,"حذف","B1",27.63
"صفة",,"عاجل","B1",27.63
"فعل",,"تسمى","B1",27.61
"صفة",,"عريض","B1",27.57
"اسم",,"مهاجر","B1",27.57
"اسم",,"أطفال","B1",27.56
"اسم",,"شراك","B1",27.56
"صفة",,"صالحة","B1",27.56
"اسم",,"أجواء","B1",27.54
"فعل",,"شرب","B1",27.54
"اسم",,"إشتراك","B1",27.51
"اسم",,"تكرار","B1",27.5
"اسم علم",,"آذار","B1",27.48
"اسم  ",,"طراز","B1",27.48
"اسم",,"لوح","B1",27.48
"اسم",,"غسل","B1",27.46
"اسم",,"منشور","B1",27.46
"اسم",,"قصدة","B1",27.42
"اسم",,"مشي","B1",27.41
"اسم",,"وحل","B1",27.38
"اسم",,"فرس","B1",27.36
"اسم",,"إقامة","B1",27.32
"فعل  ",,"زعم","B1",27.31
"صفة",,"موازن","B1",27.28
"اسم  ",,"أخبار","B1",27.25
"اسم",,"وردة","B1",27.25
"اسم",,"وعي","B1",27.22
"فعل",,"تفضل","B1",27.21
"اسم علم",,"إيطاليا","A1",27.2
"اسم",,"انضمام","B1",27.18
"اسم",,"معسكر","B1",27.18
"فعل",,"يستمر","B1",27.17
"اسم",,"نجمة","B1",27.16
"اسم",,"محارب","B1",27.14
"اسم",,"ذهب","B1",27.13
"اسم",,"قصص","B1",27.13
"اسم",,"متعة","B1",27.13
"فعل",,"عان","B1",27.11
"اسم علم",,"باكستان","B1",27.1
"صفة",,"رسمي","B1",27.04
"اسم",,"سفار","B1",27.03
"اسم",,"شقيق","B1",27.03
"اسم",,"نزول","B1",27.03
"حرف عطف",,"ثم","B1",26.99
"اسم علم",,"الكويت","B1",26.97
"فعل ",,"توضيح","B1",26.96
"اسم",,"لغو","B1",26.96
"صفة",,"خام","B1",26.94
"اسم",,"نخب","B1",26.94
"اسم",,"بشرة","B1",26.93
"اسم",,"مواصلة","B1",26.91
"اسم",,"أعمال","B1",26.9
"فعل",,"يستطيع","B1",26.89
"اسم / صفة",,"مخدر","B1",26.87
"اسم",,"نجوم","B1",26.86
"اسم",,"منظوم","B1",26.85
"فعل",,"تمنى","B1",26.84
"اسم",,"خشب","B1",26.82
"فعل",,"خالف","B1",26.8
"اسم",,"صغر","B1",26.8
"فعل",,"كتب","B1",26.79
"فعل",,"تحدد","B1",26.71
"فعل",,"تفوق","B1",26.71
"اسم",,"أساساً","B1",26.69
"اسم",,"مائة","B1",26.69
"فعل",,"تمسك","B1",26.67
"اسم",,"نصارى","B1",26.67
"فعل",,"تهدف","B1",26.64
"صفة",,"بارز","B1",26.59
"صفة",,"راحل","B1",26.59
"اسم",,"كلم","B1",26.58
"شبه جملة",,"بسهولة","B1",26.55
"اسم",,"خبراء","B1",26.55
"اسم",,"محاكم","B1",26.54
"اسم",,"خلايا","B1",26.53
"اسم / فعل",,"أفق","B1",26.51
"اسم",,"شوية","B1",26.51
"اسم",,"مخلوق","B1",26.5
"صفة",,"سياسي","B1",26.5
"صفة",,"مفرد","B1",26.49
"اسم تفضيل",,"أقدم","B1",26.44
"اسم",,"مضمون","B1",26.42
"فعل",,"نعمل","B1",26.4
"اسم",,"نطق","B1",26.39
"صفة",,"دستوري","B1",26.38
"فعل",,"نسمع","B1",26.37
"فعل",,"ترمذ","B1",26.36
"اسم",,"مقعد","B1",26.36
"اسم",,"نهر","A1",26.35
"صفة",,"عظمى","B1",26.33
"اسم",,"علاوة","B1",26.32
"صفة",,"مشعر","B1",26.32
"اسم علم",,"كندا","B1",26.3
"اسم",,"تأليف","B1",26.26
"صفة",,"متكامل","B1",26.26
"فعل",,"خاف","B1",26.23
"فعل  ",,"سافر","B1",26.23
"اسم",,"فطر","B1",26.21
"اسم",,"صفر","B1",26.2
"اسم",,"ظلام","B1",26.2
"صفة",,"مستحيل","B1",26.19
"اسم  ",,"سائق","B1",26.17
"اسم / فعل",,"تعارض","B1",26.09
"اسم",,"توسيع","B1",26.07
"اسم",,"عيب","B1",26.07
"اسم",,"نظير","B1",26.07
"اسم / فعل",,"توتر","B1",26.03
"صفة",,"معلوم","B1",26.02
"فعل",,"تتبع","B1",25.99
"اسم",,"بيض","B1",25.98
"اسم",,"مقيم","B1",25.98
"اسم",,"ذنب","B1",25.97
"فعل",,"غفر","B1",25.97
"اسم",,"ظهور","B1",25.95
"اسم",,"عدة","B1",25.95
"صفة",,"زينة","B1",25.86
"اسم علم",,"طه","B1",25.83
"اسم",,"نضال","B1",25.83
"اسم علم",,"أيلول","B1",25.82
"اسم / فعل",,"تضخم","B1",25.79
"فعل",,"هجم","B1",25.79
"اسم",,"إجماع","B1",25.74
"اسم",,"انهيار","B1",25.74
"اسم",,"راد","B1",25.71
"اسم",,"استجابة","B1",25.66
"اسم",,"لحمة","A1",25.65
"فعل",,"أعلن","B1",25.64
"صفة",,"برلماني","B1",25.6
"صفة",,"مرضي","B1",25.58
"صفة",,"متفق","B1",25.55
"اسم",,"هرم","B1",25.55
"اسم",,"فناء","B1",25.53
"اسم",,"تخفيف","B1",25.51
"اسم",,"سرد","B1",25.51
"اسم / فعل",,"تفاعل","B1",25.49
"اسم",,"لجوء","B1",25.49
"صفة",,"ديان","B1",25.46
"اسم",,"مرسوم","B1",25.42
"فعل",,"تفرض","B1",25.4
"اسم",,"صنف","B1",25.39
"اسم",,"قديس","B1",25.38
"اسم",,"رى","B1",25.36
"فعل",,"منع","B1",25.33
"اسم",,"مشاعر","B1",25.31
"اسم",,"ترخيص","B1",25.3
"ظرف زمان",,"حينئذ","B1",25.29
"فعل",,"أنظر","B1",25.25
"اسم",,"بلاغة","B1",25.24
"فعل",,"كتب","B1",25.22
"اسم",,"عميد","B1",25.22
"فعل",,"ما / لا زلت","B1",25.22
"فعل",,"نعيش","B1",25.22
"اسم",,"مبدع","B1",25.21
"اسم",,"جزيرة","B1",25.19
"صفة",,"قدير","B1",25.19
"اسم",,"شىء","B1",25.17
"صفة",,"شِعْري","B1",25.13
"فعل",,"انطلق","B1",25.1
"اسم / صفة",,"محمول","B1",25.09
"اسم",,"نعيم","B1",25.09
"فعل",,"تأخر","B1",25.06
"اسم / فعل",,"تعال","B1",25.05
"اسم",,"فلاح","B1",25.04
"اسم",,"أشبه","B1",25.02
"اسم",,"مستوطن","B1",25
"اسم",,"خلو","B1",24.98
"اسم علم",,"كونجرس","B1",24.97
"اسم",,"مسح","B1",24.97
"فعل",,"أجمع","B1",24.96
"فعل",,"خسر","B1",24.93
"اسم",,"منكر","B1",24.93
"اسم",,"أديب","B1",24.92
"صفة",,"اجنبي","B1",24.92
"اسم",,"حلمة","B1",24.88
"اسم",,"كيلو","A1",24.86
"اسم",,"سماح","B1",24.85
"اسم",,"ملكة","B1",24.84
"فعل",,"يبقى","B1",24.8
"حال",,"جيداً","B1",24.78
"اسم",,"مدرس","A2",24.78
"اسم",,"مهار","B1",24.78
"اسم / صفة",,"متطرف","B1",24.75
"اسم",,"صواب","B1",24.73
"اسم",,"صياغ","B1",24.73
"اسم",,"عقود","B1",24.73
"اسم",,"منتهى","B1",24.73
"اسم",,"ميدان","B1",24.73
"اسم",,"حقاً","B1",24.72
"اسم علم",,"هود","B1",24.68
"اسم ",,"تفعيل","B1",24.67
"اسم علم / صفة",,"نجيب","B1",24.63
"صفة",,"حامد","B1",24.6
"اسم",,"عانة","B1",24.6
"من أخوات إن",,"لعل","B1",24.59
"اسم",,"إسلام","B1",24.58
"صفة",,"واكد","B1",24.58
"اسم",,"طيور","B1",24.57
"فعل",,"يفترض","B1",24.56
"صفة",,"ظالم","B1",24.55
"اسم",,"منازل","B1",24.55
"ظرف",,"يوم الأربعاء","A1",24.54
"اسم",,"صيانة","B1",24.52
"أداة جزم",,"فلم","B1",24.51
"اسم",,"وفد","B1",24.51
"اسم",,"نبأ","B1",24.49
"فعل",,"أكد","B1",24.48
"فعل",,"ترد","B1",24.47
"اسم",,"قنطار","B1",24.46
"اسم",,"موجه","B1",24.46
"فعل",,"تأثر","B1",24.44
"اسم",,"إثر","B1",24.43
"اسم  ",,"عمالة","B1",24.43
"اسم",,"مربع","B1",24.37
"فعل",,"تظل","B1",24.36
"اسم",,"رحيل","B1",24.29
"اسم",,"مولى","B1",24.28
"فعل",,"اشترك","B1",24.26
"فعل",,"يثير","B1",24.26
"اسم",,"مدرة","B1",24.25
"اسم",,"كفور","B1",24.22
"اسم تفضيل",,"أشرف","B1",24.21
"اسم / فعل",,"تفاوض","B1",24.2
"اسم",,"انتفاض","B1",24.19
"اسم",,"عفو","B1",24.19
"اسم",,"ظلمة","B1",24.17
"فعل",,"غادر","B1",24.15
"اسم علم",,"إنجيل","B1",24.14
"اسم",,"مصالحة","B1",24.12
"اسم",,"ملاك","B1",24.11
"اسم",,"معط","B1",24.1
"صفة",,"خضراء","B1",24.08
"صفة",,"متزايد","B1",24.06
"اسم",,"فتن","B1",24.05
"اسم",,"أبد","B1",24.04
"اسم",,"جسر","B1",24.04
"اسم",,"مراعاة","B1",24.04
"اسم",,"تواجد","B1",24.03
"صفة",,"معتمد","B1",24.01
"فعل",,"ترتب","B1",23.94
"اسم",,"مزرعة","B1",23.94
"اسم",,"حيرة","B1",23.93
"فعل",,"نقوم","B1",23.93
"اسم",,"إشراف","B1",23.92
"فعل / اسم",,"زرع","B1",23.92
"اسم",,"شكوى","B1",23.9
"فعل",,"اتباع","B1",23.87
"اسم",,"احتياط","B1",23.87
"اسم",,"بند","B1",23.87
"اسم",,"حلفاء","B1",23.86
"فعل",,"سقط","B1",23.86
"اسم",,"خفض","B1",23.8
"اسم",,"سند","B1",23.79
"فعل",,"نراه","B1",23.79
"اسم",,"تخصيص","B1",23.76
"اسم",,"إطلاع","B1",23.72
"اسم",,"داء","B1",23.71
"اسم",,"مجرم","B1",23.71
"اسم",,"مؤرخ","B1",23.7
"فعل",,"يحتمل","B1",23.69
"اسم",,"عصور","B1",23.67
"اسم",,"تارة","B1",23.64
"اسم",,"مواصفات","B1",23.63
"اسم",,"حكام","B1",23.62
"اسم",,"معبر","B1",23.6
"صفة",,"جاهز","B1",23.59
"فعل",,"تعلن","B1",23.58
"فعل",,"وجب","B1",23.54
"اسم علم",,"نيسان","B1",23.5
"اسم",,"خريطة","B1",23.47
"فعل",,"طاول","B1",23.45
"اسم",,"خطة","B1",23.44
"اسم",,"مسرة","B1",23.44
"اسم",,"إنتباه","B1",23.42
"اسم",,"إنهاء","B1",23.39
"فعل",,"تستمر","B1",23.38
"اسم",,"قلعة","B1",23.37
"اسم / فعل",,"تفاهم","B1",23.33
"اسم",,"تساؤل","B1",23.32
"صفة",,"أكاديمي","B1",23.29
"اسم علم",,"الصين","B1",23.27
"اسم",,"مقياس","B1",23.26
"صفة",,"رائد","B1",23.21
"صفة",,"صلب","B1",23.19
"اسم",,"تسهيل","B1",23.17
"صفة",,"خائف","B1",23.15
"اسم",,"روضة","B1",23.11
"اسم",,"شفاء","B1",23.08
"صفة",,"بيئي","B1",23.07
"اسم",,"شاي","A1",23.05
"اسم",,"إدراك","B1",23.03
"اسم / فعل",,"زار","B1",23.01
"اسم",,"علة","B1",23.01
"اسم",,"مرار","B1",23.01
"اسم / صفة",,"إعلامي","B1",22.99
"فعل",,"تعب","B1",22.98
"اسم",,"رأسمال","B1",22.96
"اسم  ",,"هامش","B1",22.94
"حرف ",,"لكن","B1",22.93
"صفة",,"حماد","B1",22.92
"صفة",,"رفيع","B1",22.92
"اسم",,"قتيل","B1",22.91
"اسم",,"معجز","B1",22.91
"اسم",,"فجوة","B1",22.9
"اسم",,"استخبار","B1",22.89
"اسم",,"ميثاق","B1",22.87
"اسم",,"مرحل","B1",22.86
"اسم",,"منبر","B1",22.85
"اسم",,"نسيج","B1",22.84
"اسم",,"استهلاك","B1",22.83
"اسم",,"زن","B1",22.83
"اسم",,"باشا","B1",22.8
"صفة",,"داعي","B1",22.78
"فعل",,"عجزت","B1",22.77
"فعل",,"طبع","B1",22.76
"فعل",,"تكمن","B1",22.73
"فعل",,"ترغب","B1",22.72
"فعل",,"توسع","B1",22.72
"صفة",,"جدير","B1",22.7
"فعل",,"واشار","B1",22.7
"حال",,"أبداً","B1",22.68
"اسم",,"فراغ","B1",22.66
"اسم",,"ملحق","B1",22.66
"فعل",,"اعترف","B1",22.65
"اسم",,"حائط","B1",22.65
"اسم",,"مهر","B1",22.63
"اسم",,"عشاء","B1",22.62
"اسم",,"منظور","B1",22.62
"اسم",,"مزارع","B1",22.6
"اسم",,"حادثة","B1",22.59
"فعل",,"هدد","B1",22.59
"اسم",,"صانع","B1",22.58
"صفة",,"متطلب","B1",22.58
"فعل",,"يضيف","B1",22.57
"اسم / فعل",,"فارق","B1",22.52
"اسم",,"غنى","B1",22.5
"فعل",,"لعب","B1",22.47
"اسم",,"مساواة","B1",22.45
"اسم",,"إجازة","B1",22.43
"صفة",,"مغلق","B1",22.43
"فعل",,"تتحول","B1",22.41
"اسم",,"وظائف","B1",22.41
"فعل",,"يستطع","B1",22.4
"فعل",,"تكشف","B1",22.32
"فعل",,"أعتقد","B1",22.31
"اسم",,"إعدام","B1",22.3
"اسم",,"تصدير","B1",22.3
"اسم",,"الناس","B1",22.3
"اسم",,"إساءة","B1",22.27
"اسم",,"احتجاج","B1",22.25
"فعل",,"تفتح","B1",22.25
"اسم",,"زوار","B1",22.25
"اسم",,"هجمة","B1",22.22
"صفة",,"ملكي","B1",22.21
"فعل",,"اضغط","B1",22.2
"اسم علم",,"رايس","B1",22.19
"اسم",,"مائدة","A1",22.19
"اسم",,"مؤسسة","B1",22.19
"فعل",,"تجنب","B1",22.18
"اسم",,"قهوة","B1",22.17
"اسم",,"عذب","B1",22.15
"اسم",,"إنقاذ","B1",22.13
"اسم",,"سقف","B1",22.11
"فعل",,"عولم","B1",22.1
"اسم",,"نفوس","B1",22.1
"اسم",,"نَفْس","B1",22.09
"فعل",,"تطالب","B1",22.06
"فعل",,"نام","B1",22.03
"فعل",,"طرد","B1",22.02
"اسم علم",,"تيمية","B1",22.01
"اسم",,"متحف","B1",21.99
"صفة",,"قاس","B1",21.98
"اسم علم",,"أوروبا","B1",21.96
"فعل",,"تتمتع","B1",21.95
"فعل ",,"توظيف","B1",21.93
"فعل",,"تتخذ","B1",21.92
"فعل",,"تتعرض","B1",21.9
"صفة",,"عيني","B1",21.88
"اسم",,"خمر","B1",21.87
"فعل",,"نفذ","B1",21.87
"صفة",,"ساخن","B1",21.8
"اسم",,"علاء","B1",21.8
"اسم",,"ريف","B1",21.78
"اسم",,"والدة","A2",21.76
"اسم",,"تحريم","B1",21.73
"فعل",,"نصير","B1",21.72
"اسم",,"انقلاب","B1",21.71
"فعل",,"عاب","B1",21.71
"اسم تفضيل",,"أقيم","B1",21.67
"اسم",,"راية","B1",21.67
"صفة",,"مكلف","B1",21.63
"اسم",,"ولادة","B1",21.63
"اسم",,"اختصار","B1",21.61
"فعل",,"أعد","B1",21.55
"شبه جملة",,"بجاد","B1",21.55
"فعل",,"تأمل","B1",21.55
"اسم",,"تصحيح","B1",21.53
"صفة",,"جابية","B1",21.53
"اسم",,"لبن","A1",21.53
"فعل",,"ترفض","B1",21.52
